Name,Precursor_type,NCE,CE,Ion_mode,InChIKey,Formula,Ionization,PrecursorMZ,SMILES,RT,MSMS,intensity,TQ_CE
"N-Cyclopropyl-3,4,5-trimethoxybenzamide",[M+H]+,25.0,12.0,P,SJPYUSAXGYQKLM-UHFFFAOYSA-N,C13H17NO4,ESI,252.1,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CC2,10.72,195.1,0.9861,16
"N-Cyclopropyl-3,4,5-trimethoxybenzamide",[M+H]+,25.0,12.0,P,SJPYUSAXGYQKLM-UHFFFAOYSA-N,C13H17NO4,ESI,252.1,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CC2,10.72,252.1,0.0123,16
"N-Cyclopropyl-3,4,5-trimethoxybenzamide",[M+H]+,25.0,12.0,P,SJPYUSAXGYQKLM-UHFFFAOYSA-N,C13H17NO4,ESI,252.1,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CC2,10.72,169.1,0.0016,16
"N-Cyclopropyl-3,4,5-trimethoxybenzamide",[M+H]+,20.0,10.0,P,SJPYUSAXGYQKLM-UHFFFAOYSA-N,C13H17NO4,ESI,252.1,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CC2,10.72,195.1,0.9419,15
"N-Cyclopropyl-3,4,5-trimethoxybenzamide",[M+H]+,20.0,10.0,P,SJPYUSAXGYQKLM-UHFFFAOYSA-N,C13H17NO4,ESI,252.1,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CC2,10.72,252.1,0.0581,15
"N-Cyclopropyl-3,4,5-trimethoxybenzamide",[M+H]+,2.0,1.0,P,SJPYUSAXGYQKLM-UHFFFAOYSA-N,C13H17NO4,ESI,252.1,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CC2,10.72,252.1,0.8933,10
"N-Cyclopropyl-3,4,5-trimethoxybenzamide",[M+H]+,2.0,1.0,P,SJPYUSAXGYQKLM-UHFFFAOYSA-N,C13H17NO4,ESI,252.1,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CC2,10.72,195.1,0.1067,10
"N-Cyclopropyl-3,4,5-trimethoxybenzamide",[M+H]+,160.0,80.0,P,SJPYUSAXGYQKLM-UHFFFAOYSA-N,C13H17NO4,ESI,252.1,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CC2,10.72,53.0,0.1349,56
"N-Cyclopropyl-3,4,5-trimethoxybenzamide",[M+H]+,160.0,80.0,P,SJPYUSAXGYQKLM-UHFFFAOYSA-N,C13H17NO4,ESI,252.1,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CC2,10.72,51.0,0.0977,56
"N-Cyclopropyl-3,4,5-trimethoxybenzamide",[M+H]+,160.0,80.0,P,SJPYUSAXGYQKLM-UHFFFAOYSA-N,C13H17NO4,ESI,252.1,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CC2,10.72,66.0,0.0756,56
"N-Cyclopropyl-3,4,5-trimethoxybenzamide",[M+H]+,160.0,80.0,P,SJPYUSAXGYQKLM-UHFFFAOYSA-N,C13H17NO4,ESI,252.1,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CC2,10.72,65.0,0.0651,56
"N-Cyclopropyl-3,4,5-trimethoxybenzamide",[M+H]+,160.0,80.0,P,SJPYUSAXGYQKLM-UHFFFAOYSA-N,C13H17NO4,ESI,252.1,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CC2,10.72,63.0,0.0608,56
"N-Cyclopropyl-3,4,5-trimethoxybenzamide",[M+H]+,160.0,80.0,P,SJPYUSAXGYQKLM-UHFFFAOYSA-N,C13H17NO4,ESI,252.1,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CC2,10.72,77.0,0.0556,56
"N-Cyclopropyl-3,4,5-trimethoxybenzamide",[M+H]+,160.0,80.0,P,SJPYUSAXGYQKLM-UHFFFAOYSA-N,C13H17NO4,ESI,252.1,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CC2,10.72,94.0,0.0511,56
"N-Cyclopropyl-3,4,5-trimethoxybenzamide",[M+H]+,160.0,80.0,P,SJPYUSAXGYQKLM-UHFFFAOYSA-N,C13H17NO4,ESI,252.1,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CC2,10.72,50.0,0.0419,56
"N-Cyclopropyl-3,4,5-trimethoxybenzamide",[M+H]+,160.0,80.0,P,SJPYUSAXGYQKLM-UHFFFAOYSA-N,C13H17NO4,ESI,252.1,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CC2,10.72,105.0,0.0381,56
"N-Cyclopropyl-3,4,5-trimethoxybenzamide",[M+H]+,160.0,80.0,P,SJPYUSAXGYQKLM-UHFFFAOYSA-N,C13H17NO4,ESI,252.1,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CC2,10.72,81.0,0.0375,56
